Programs,de61d971-5ebc-4f02-a3a9-6c82895e5c04,true,false
AdminTools,724EF170-A42D-4FEF-9F26-B60E846FBA4F,false,true
AppUpdates,a305ce99-f527-492b-8b1a-7e76fa98d6e4,true,false
CDBurning,9E52AB10-F80D-49DF-ACB8-4330F5687855,false,true
ChangeRemovePrograms,df7266ac-9274-4867-8d55-3bd661de872d,true,false
CommonAdminTools,D0384E7D-BAC3-4797-8F14-CBA229B392B5,false,false
CommonOEMLinks,C1BAE2D0-10DF-4334-BEDD-7AA20B227A9D,false,false
CommonPrograms,0139D44E-6AFE-49F2-8690-3DAFCAE6FFB8,false,false
CommonStartMenu,A4115719-D62E-491D-AA7C-E74B8BE3B067,false,false
CommonStartup,82A5EA35-D9CD-47C5-9629-E15D2F714E6E,false,false
CommonTemplates,B94237E7-57AC-4347-9151-B08C6C32D1F7,false,false
ComputerFolder,0AC0837C-BBF8-452A-850D-79D08E667CA7,true,false
ConflictFolder,4bfefb45-347d-4006-a5be-ac0cb0567192,true,false
ConnectionsFolder,6F0CD92B-2E97-45D1-88FF-B0D186B8DEDD,true,false
Contacts,56784854-C6CB-462b-8169-88E350ACB882,false,true
ControlPanelFolder,82A74AEB-AEB4-465C-A014-D097EE346D63,true,false
Cookies,2B0F765D-C0E9-4171-908E-08A611B84FF6,false,true
Desktop,B4BFCC3A-DB2C-424C-B029-7FE99A87C641,false,true
Documents,FDD39AD0-238F-46AF-ADB4-6C85480369C7,false,true
Downloads,374DE290-123F-4565-9164-39C4925E467B,false,true
Favorites,1777F761-68AD-4D8A-87BD-30B759FA33DD,false,true
Fonts,FD228CB7-AE11-4AE3-864C-16F3910AB8FE,false,false
Games,CAC52C1A-B53D-4edc-92D7-6B2E8AC19434,true,false
GameTasks,054FAE61-4DD8-4787-80B6-090220C4B700,false,true
History,D9DC8A3B-B784-432E-A781-5A1130A75963,false,true
InternetCache,352481E8-33BE-4251-BA85-6007CAEDCF9D,false,true
InternetFolder,4D9F7874-4E0C-4904-967B-40B0D20C3E4B,true,false
Links,bfb9d5e0-c6a9-404c-b2b2-ae6db6af4968,false,true
LocalAppData,F1B32785-6FBA-4FCF-9D55-7B8E7F157091,false,true
LocalAppDataLow,A520A1A4-1780-4FF6-BD18-167343C5AF16,false,true
LocalizedResourcesDir,2A00375E-224C-49DE-B8D1-440DF7EF3DDC,true,false
Music,4BD8D571-6D19-48D3-BE97-422220080E43,false,true
NetHood,C5ABBF53-E17F-4121-8900-86626FC2C973,false,true
NetworkFolder,D20BEEC4-5CA8-4905-AE3B-BF251EA09B53,true,false
OriginalImages,2C36C0AA-5812-4b87-BFD0-4CD0DFB19B39,true,false
PhotoAlbums,69D2CF90-FC33-4FB7-9A0C-EBB0F0FCB43C,true,false
Pictures,33E28130-4E1E-4676-835A-98395C3BC3BB,false,true
Playlists,DE92C1C7-837F-4F69-A3BB-86E631204A23,true,false
PrintersFolder,76FC4E2D-D6AD-4519-A663-37BD56068185,true,false
